instrument,type,role
jegogan,Percussion instrument,drums
jeli ngɔni,String instrument,strings
jing,Percussion instrument,drums
jing'erhu,String instrument,strings
jinghu,String instrument,strings
junjung,Percussion instrument,drums
k'lông pút,Wind instrument,other
kacapi indung,String instrument,strings
kacapi siter,String instrument,strings
kachva sitar,String instrument,strings
kamale ngɔni,String instrument,strings
kamancheh,String instrument,strings
kanjira,Percussion instrument,drums
kanklės,String instrument,strings
kannel,String instrument,strings
kantilan,Percussion instrument,drums
kanun,String instrument,strings
kartal,Percussion instrument,drums
kaval,Wind instrument,other
kazoo,Other instrument,other
kecer,Percussion instrument,drums
kemanak,Percussion instrument,drums
kemenche,String instrument,strings
kemençe of the Black Sea,String instrument,strings
kempul,Percussion instrument,drums
kempyang,Percussion instrument,drums
kendang,Percussion instrument,drums
kendang lanang,Percussion instrument,drums
kendang wadon,Percussion instrument,drums
kendhang indung,Percussion instrument,drums
kendhang ketipung,Percussion instrument,drums
kendhang kulanter,Percussion instrument,drums
kenong,Percussion instrument,drums
kethuk,Percussion instrument,drums
kettle drum,Percussion instrument,drums
keyboard,Electronic instrument,keys
keyboard bass,Electronic instrument,keys
keyed box zither,String instrument,strings
keyed brass instruments,Wind instrument,other
keytar,Electronic instrument,other
khamak,String instrument,strings
khene,Wind instrument,other
khim,String instrument,strings
khèn Mèo,Wind instrument,other
kinnor,String instrument,strings
kkwaenggwari,Percussion instrument,drums
klong khaek,Percussion instrument,drums
klong song na,Percussion instrument,drums
klong that,Percussion instrument,drums
klong yao,Percussion instrument,drums
kokle,String instrument,strings
kokyu,String instrument,strings
komuz,String instrument,strings
kora,String instrument,strings
koto,String instrument,strings
kotsuzumi,Percussion instrument,drums
krakeb,Percussion instrument,drums
krap,Family,other
krap khū,Percussion instrument,drums
krar,String instrument,strings
kudüm,Percussion instrument,drums
kèn lá,Wind instrument,other
kös,Percussion instrument,drums
kōauau,Wind instrument,other
kōauau ponga ihu,Wind instrument,other
lamellaphone,Percussion instrument,drums
langeleik,String instrument,strings
laouto,String instrument,strings
lap harp,String instrument,harp
lap steel guitar,String instrument,guitar
laser harp,Electronic instrument,other
lasso d'amore,Other instrument,other
lautenwerck,String instrument,strings
lavta,String instrument,strings
laúd,String instrument,strings
limbe,Wind instrument,other
lira da braccio,String instrument,strings
lirone,String instrument,strings
lithophone,Percussion instrument,drums
liuqin,String instrument,strings
lute family,Family,other
luthéal,String instrument,strings
lyra viol,String instrument,strings
lyre,String instrument,strings
Lyricon,Electronic instrument,other
madal,Percussion instrument,drums
maddale,Percussion instrument,drums
Magyar duda,Wind instrument,other
mandoguitar,String instrument,guitar
mandolin,String instrument,guitar
mandolute,String instrument,mandolin
maracas,Percussion instrument,drums
marimba,Percussion instrument,drums
marimba lumina,Electronic instrument,other
Mark tree,Percussion instrument,drums
marímbula,Percussion instrument,drums
matstsyanka,Wind instrument,other
mbira,Percussion instrument,drums
mellophone,Wind instrument,other
melodica,Wind instrument,other
melophone,Wind instrument,other
membranophone,Percussion instrument,drums
metallophone,Family,other
Mexican vihuela,String instrument,strings
mezwed,Wind instrument,other
mijwiz,Wind instrument,other
minipiano,String instrument,keys
mirliton,Wind instrument,other
monkey stick,Percussion instrument,drums
morsing,Percussion instrument,drums
mouth organ,Wind instrument,keys
mridangam,Percussion instrument,drums
mukkuri,Percussion instrument,drums
musette de cour,Wind instrument,other
musical bow,String instrument,strings
musical box,Percussion instrument,drums
musical saw,Other instrument,other
nabal,Wind instrument,other
nadaswaram,Wind instrument,other
nagadou-daiko,Percussion instrument,drums
nagak,Wind instrument,other
nai,Wind instrument,other
natural horn,Wind instrument,other
natural trumpet,Wind instrument,other
neyanban,Wind instrument,other
nguru,Wind instrument,other
njarka,String instrument,strings
nohkan,Wind instrument,other
Northumbrian pipes,Wind instrument,other
nose flute,Wind instrument,other
nose whistle,Wind instrument,other
nyatiti,String instrument,strings
oboe d'amore,Wind instrument,other
oboe da caccia,Wind instrument,other
ocarina,Wind instrument,other
ocean drum,Percussion instrument,drums
octave mandolin,String instrument,mandolin
octoban,Percussion instrument,drums
ondioline,Electronic instrument,other
ophicleide,Wind instrument,other
organ,Wind instrument,keys
orpharion,String instrument,strings
orphica,String instrument,strings
other instruments,Other instrument,other
oval spinet,String instrument,strings
pahū,Percussion instrument,drums
pahū pounamu,Percussion instrument,drums
paiban,Percussion instrument,drums
pan flute,Wind instrument,other
